x,z,y
18.5,8.0,8744.0
18.5,9.0,8733.0
18.5,10.0,8772.0
18.5,11.0,8890.0
18.5,12.0,9058.0
18.5,13.0,9329.0
18.5,14.0,8119.0
19.0,0.0,849.0
19.0,1.0,4070.0
19.0,2.0,5330.0
19.0,3.0,6119.0
19.0,4.0,6582.0
19.0,5.0,6740.0
19.0,6.0,6756.0
19.0,7.0,6687.0
19.0,8.0,6583.0
19.0,9.0,6541.0
19.0,10.0,6563.0
19.0,11.0,6725.0
19.0,12.0,7033.0
19.0,13.0,7481.0
19.0,14.0,7080.0
19.25,0.0,712.0
19.25,1.0,3252.0
19.25,2.0,4394.0
19.25,3.0,5134.0
19.25,4.0,5580.0
19.25,5.0,5698.0
19.25,6.0,5662.0
19.25,7.0,5530.0
19.25,8.0,5336.0
19.25,9.0,5179.0
19.25,10.0,5179.0
19.25,11.0,5380.0
19.25,12.0,5793.0
19.25,13.0,6344.0
19.25,14.0,5905.0
19.5,0.0,54.0
19.5,1.0,2442.0
19.5,2.0,3462.0
19.5,3.0,4133.0
19.5,4.0,4534.0
19.5,5.0,4628.0
19.5,6.0,4523.0
19.5,7.0,4293.0
19.5,8.0,3950.0
19.5,9.0,3763.0
19.5,10.0,3784.0
19.5,11.0,3992.0
19.5,12.0,4484.0
19.5,13.0,5099.0
19.5,14.0,4502.0
19.75,1.0,1636.0
19.75,2.0,2558.0
19.75,3.0,3139.0
19.75,4.0,3465.0
19.75,5.0,3537.0
19.75,6.0,3471.0
19.75,7.0,3088.0
19.75,8.0,2543.0
19.75,9.0,2097.0
19.75,10.0,2043.0
19.75,11.0,2359.0
19.75,12.0,2964.0
19.75,13.0,3665.0
19.75,14.0,2747.0
